Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,Volume,OpenInterest,ImpliedVolatility,BisectionIV,BisectionTime,NewtonIV,NewtonTime,SecantIV,SecantTime,Delta_bs,Gamma_bs,Vega_bs,Delta_fd,Gamma_fd,Vega_fd,Parity_price,Bs_price,InTheMoney
^VIX,2025-02-19,0.013699,9,Call,7.65,7.45,7.65,2,3790,5.26172,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45096,True
^VIX,2025-02-19,0.013699,10,Call,6.9,6.45,6.65,151,1707,4.53907,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45154,True
^VIX,2025-02-19,0.013699,10.5,Call,6.37,5.95,6.15,13,25,4.20313,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95183,True
^VIX,2025-02-19,0.013699,11,Call,5.75,5.45,5.65,1,264,3.88281,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45211,True
^VIX,2025-02-19,0.013699,11.5,Call,5.35,5,5.1,1,154,3.57422,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9524,True
^VIX,2025-02-19,0.013699,12,Call,4.65,4.5,4.6,6,3730,3.27344,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45269,True
^VIX,2025-02-19,0.013699,12.5,Call,4.4,4,4.1,4,456,2.98047,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95298,True
^VIX,2025-02-19,0.013699,13,Call,3.45,3.5,3.6,910,5211,2.69532,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45327,True
^VIX,2025-02-19,0.013699,13.5,Call,3,3,3.1,1,3267,2.41407,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05255,True
^VIX,2025-02-19,0.013699,14,Call,2.52,2.5,2.56,121,5086,2.10938,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56644,True
^VIX,2025-02-19,0.013699,14.5,Call,2.05,2.01,2.07,17,2145,1.83984,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09841,True
